Visual,Task Category,Interaction,Generic/Misconception/Mistake,Error Pattern Description,Visual Scaffold/Medium Remediation,Heavy Remediation Version/Alternate,Module 1,Module 2,Module 3,Module 4,Module 5,Module 6,Module 7,Module 8,Module 9,Module 10,Module 11,Module 12,Image Reference
Rectangle Bars/Shapes/Grid Arrays,Divide/Partition into X Equal Parts,On the Visual,Generic,,[Visual: Sequential division strategy shown],,X,X,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Divide/Partition into X Equal Parts,On the Visual,Counting Error,"Creates wrong number of equal parts (e.g., makes 5 when asked for 4, but all equal)",,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Divide/Partition into X Equal Parts,On the Visual,#1 Equal vs. Unequal Parts,Creates unequal partitions but treats them as equal/valid,,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Shade 1 Part,On the Visual,Counting Error,Shades more than 1 part,[Visual: One piece of the shape is outlined],,X,X,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Shade X Parts,On the Visual,Generic,,"[Visual: Pieces outline/highlight one-by-one as numbers 1..(2,3...X)]",,,X,X,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Shade X Parts,On the Visual,Counting Error,"Shades wrong number of parts (not numerator, not denominator, just miscounted)",,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Shade X Parts,On the Visual,#6 Reversing Numerator and Denominator,"Shades denominator count (e.g., shades 4 parts when asked for 3/4)",,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Shade X Parts,On the Visual,#3 Numerator/Denominator as Independent,"Shades incorrect number, doesn't connect numerator to action",,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Equal/Unequal Parts,Multiple Choice Answers,Generic,,"[Visual: Pieces outline/highlight one-by-one as numbers 1..(2,3...X)]",,,X,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Equal/Unequal Parts,Multiple Choice Answers,Counting Error,Reports wrong numbe of equal/unequal parts,,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Equal/Unequal Parts,Multiple Choice Answers,#1 Equal vs. Unequal Parts,Identifies unequal parts as equal or vice versa,,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Shaded Parts,Multiple Choice Answers,Generic,,"[Visual: Pieces outline/highlight one-by-one as numbers 1..(2,3...X)]",,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Shaded Parts,Multiple Choice Answers,Counting Error,"Reports wrong count (not numerator, not denominator, just miscounted)",,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Shaded Parts,Multiple Choice Answers,#6 Reversing Numerator and Denominator,Counts total parts instead of shaded parts (reports denominator),,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,Select Number of Shaded Parts,Multiple Choice Answers,#3 Numerator/Denominator as Independent,Doesn't understand shaded parts = numerator relationship,,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,How many shapes have Equal/Unequal Parts,Multiple Choice Answers,Generic,,"[Visual: Each shape highlights sequentially - equal parts glow together, unequal parts show largest/smallest pulsing]",,,X,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,How many shapes have Equal/Unequal Parts,Multiple Choice Answers,Counting Error,Miscounts number of shapes with equal/unequal parts,,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,How many shapes have Equal/Unequal Parts,Multiple Choice Answers,#1 Equal vs. Unequal Parts,Cannot discriminate between equal and unequal partitions,,,,,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,What Shaded Part is Bigger,On the Visual,Generic,,[Visual: Outline Comparison of pieces from each bar],,X,X,,,,,,,,,,,
Rectangle Bars/Shapes/Grid Arrays,What Shaded Part is Bigger,On the Visual,#8 Errors Comparing Unlike Fractions,Selects based on denominator logic (more parts = bigger pieces),,,,,,,,,,,,,,,
